litter,sex,group,drug,weight,marbles
A,Male,VPA,SAL,21.91,4
B,Male,VPA,SAL,20.39,2
C,Male,VPA,SAL,21.2,12
D,Male,VPA,SAL,23.2,16
E,Male,VPA,SAL,22.9,13
F,Male,VPA,SAL,21.1,7
D,Female,VPA,SAL,19.8,2
G,Female,VPA,SAL,19,6
H,Female,VPA,SAL,19.7,1
C,Female,VPA,SAL,19.2,8
E,Female,VPA,SAL,18.7,5
I,Female,VPA,SAL,18,0
D,Male,VPA,SAL,NA,6
J,Male,SAL,SAL,23.13,1
J,Male,SAL,SAL,23.11,3
K,Male,SAL,SAL,22.32,3
L,Male,SAL,SAL,22.52,2
J,Female,SAL,SAL,19.94,5
K,Female,SAL,SAL,19.6,3
K,Female,SAL,SAL,20.1,4
L,Female,SAL,SAL,21.32,3
M,Male,SAL,SAL,21.6,8
N,Male,SAL,SAL,24.3,1
M,Female,SAL,SAL,17.6,1
N,Female,SAL,SAL,21.4,3
A,Male,VPA,MPEP,24.24,1
B,Male,VPA,MPEP,21.33,1
C,Male,VPA,MPEP,22.7,0
D,Male,VPA,MPEP,22.5,8
E,Male,VPA,MPEP,23.2,2
F,Male,VPA,MPEP,21.6,4
D,Female,VPA,MPEP,19.1,11
G,Female,VPA,MPEP,17.8,0
H,Female,VPA,MPEP,19.3,0
C,Female,VPA,MPEP,19.8,0
E,Female,VPA,MPEP,19.2,1
I,Female,VPA,MPEP,21.1,0
J,Male,SAL,MPEP,22.31,1
J,Male,SAL,MPEP,21.67,2
K,Male,SAL,MPEP,22.6,3
L,Male,SAL,MPEP,23.4,1
J,Female,SAL,MPEP,22.25,2
K,Female,SAL,MPEP,19.44,2
K,Female,SAL,MPEP,18.43,1
L,Female,SAL,MPEP,20.71,1
M,Male,SAL,MPEP,21.6,0
N,Male,SAL,MPEP,24.3,2
M,Female,SAL,MPEP,19.7,0
N,Female,SAL,MPEP,21.9,6
