wing.length,body.mass,badge.size,brood.sizee,age
81,29.5,34.1,4,1
82,27.6,34.5,4,2
82,27.4,37.5,4,3
80,27.3,35,5,0
81,27.8,33.9,5,1
81,27.4,37.8,5,2
78,26.6,35,5,0
79,26.2,37.9,5,1
79,26.4,38.2,5,3
81,31.5,39.7,4,0
76,29.9,35.4,5,1
79,29.5,40.2,5,1
80,29.1,35,4,0
77,28.4,30.5,4,1
79,27.4,34.7,4,1
79,28.1,45.4,4,2
81,30,38,4,0
81,28.4,39,4,1
81,24.7,37.6,4,2
81,31.9,39.6,4,0
81,29,37.9,4,1
81,31.1,50.1,4,2
78,26.1,36.1,4,0
78,28.2,35.3,4,1
79,28.2,31.3,4,0
78,27.4,33.1,4,0
78,28.2,35.5,2,0
79,29.3,46.7,2,2
78,27.2,31.9,4,0
79,27.5,36.1,4,0
80,27.2,37.9,4,1
80,25.4,39.5,4,3
80,26.6,37,4,3
79,28.5,34,4,0
80,27.6,39.5,4,1
79,24.8,33.4,4,0
79,25.2,30.2,4,1
80,26.2,30,4,1
80,28.8,35,6,0
80,30,38.7,4,0
78,26.6,34.5,5,0
79,28.4,38.5,3,1
78,27.2,32.6,2,1
79,28.5,35.4,2,1
80,22.7,33.1,4,0
81,32.5,37,3,0
77,23.8,30.3,3,0
80,27.8,39.2,3,0
81,29.8,37.4,3,1
77,26.5,32.3,4,1
78,26,38.7,4,1
79,29,33.7,3,0
76,25,35,4,0
80,30.8,40.8,3,0
81,31.5,33,3,1
81,29.3,37.8,3,2
76,26.5,31.2,3,0
73,27.4,35.1,3,1
77,27.3,46.7,3,2
77,25.7,50.4,1,1
80,30,37.4,2,0
78,29.8,48.4,2,1
79,28.7,41.7,2,2
78,26.6,39.3,2,0
77,24,49,5,1
78,25.6,41.2,5,1
78,26.5,30.2,5,2
79,28.2,37,4,0
80,28.5,40,4,1
80,31.5,47.1,4,1
79,25.5,38.2,5,0
78,27.3,32.6,5,0
80,27.2,48.5,4,1
78,24.2,37.5,5,0
78,23.4,46.1,5,1
77,23.5,35.1,5,0
81,27.4,35.6,5,0
80,27.9,35.1,5,1
79,30.3,41.9,5,1
81,28.2,39.7,5,2
80,26.7,32.8,3,0
80,26.2,33.5,3,0
79,27.2,36.1,4,0
80,28.2,35.5,3,0
79,32,33.1,5,0
80,28.5,42.1,5,0
78,27,30.3,5,0
78,25.6,47.4,5,1
79,26.9,36.7,5,2
80,29.4,34.4,5,0
80,29.2,36.8,5,0
80,29.6,38.4,4,0
79,27.8,35.4,4,0
83,29.5,36,5,0
79,27.2,38.2,2,0
79,27.2,32.8,5,0
80,28.6,34.8,4,0
76,28,32.5,3,0
78,28.5,36.8,4,0
79,28.5,35,5,0
79,28,36.3,5,0
80,31.5,38.1,5,0
78,27.8,29.8,5,0
77,25.7,33,5,1
77,26.4,31.5,5,3
77,26.9,36.7,5,4
81,28.8,35,4,0
82,29.4,33.6,5,0
82,27.5,34.5,5,0
80,27.5,35.4,5,0
79,27,34.5,5,0
79,26.8,36.1,5,1
78,27.4,33,6,0
80,26.9,31.4,6,0
,28.6,34.5,6,0
80,24.9,35.4,6,2
80,30.8,42,4,0
79,29.6,37,5,0
77,26.6,45.5,5,1
78,29.7,32.4,2,0
80,30.5,37.5,4,0
80,30,37.5,4,0
79,27.5,36.6,4,1
81,26.8,36.8,4,2
81,28.5,36.2,4,2
82,32.5,37.7,5,0
81,33.5,38.2,3,0
82,30,33.3,3,0
80,31.4,36.6,4,0
78,25.9,34.9,3,0
78,28.5,36.8,3,0
78,25.7,37.7,3,2
77,31.2,33,3,0
80,29,35.7,4,0
79,29.9,33.2,3,0
81,29.6,34.2,4,0
81,30,35,5,0
78,25.2,30.8,5,0
78,25.5,33.3,5,0
77,23.3,33.7,5,1
79,27,34,3,0
79,33,36.2,6,0
79,30,36.2,6,0
78,28.3,42,6,1
81,32,38.8,4,0
79,30.4,48.5,4,1
82,31.6,38.2,4,2
78,29.8,31.2,3,0
78,27.3,48.4,3,1
77,28.9,34.5,4,0
79,27,32,4,0
79,28.8,32.3,4,0
77,27,34,4,1
75,27.9,44.9,4,1
79,26.6,31,2,0
79,27.9,37.5,4,0
79,26.9,38.9,4,2
79,29,35.7,4,0
78,26.4,36,4,0
78,26.5,43.4,4,1
77,28.2,33.8,3,0
76,33.2,32.9,3,0
77,28.2,34.7,3,1
79,27,31,4,0
77,28.6,35.1,4,0
78,26.9,35.1,4,0
78,30.3,33.6,3,0
