sex,adult.tarsus,trt
Female,18,Control
Female,18.7,Fed
Male,18.8,Fed
Male,18.9,Control
Female,17.8,Control
Male,17,Control
Female,18.5,Fed
Male,19,Control
Female,15.6,Fed
Female,18.6,Control
Male,18.4,Control
Female,16.9,Control
Male,17.6,Control
Female,17.2,Control
Female,17.6,Fed
Female,17.6,Fed
Male,17.9,Control
Female,18.3,Fed
Male,18.7,Control
Female,18.7,Control
Female,19,Control
Female,18.4,Fed
Male,18.6,Fed
Male,18.1,Fed
Female,18.4,Control
Female,17.9,Fed
Female,18,Fed
Male,19.7,Control
Male,18,Control
Male,18.1,Control
Male,18.5,Fed
Female,18.4,Fed
Male,17.4,Control
Female,17,Control
Female,17.1,Fed
Male,18.1,Fed
Male,19.1,Fed
Female,18.4,Fed
Male,16.3,Control
Female,18.2,Control
Male,17.5,Control
Female,16.9,Control
Female,19.4,Fed
Male,17.9,Fed
Male,18.4,Fed
Male,18.1,Control
Female,18.2,Control
Female,18.9,Fed
Female,17.9,Fed
Male,18.8,Fed
Male,18,Control
Male,18.1,Control
Male,18.8,Fed
Male,19.2,Fed
Female,18.2,Control
Male,18.2,Control
Male,18.4,Control
Male,18.8,Control
Female,18.5,Fed
Female,19.4,Fed
Male,18.6,Fed
Female,18.3,Control
Male,18.9,Control
Male,18.1,Control
