animal.ID,trt,slide,total.beta.cell,Ki67.cells,percent.Ki67,,,,
CM7721,MBP,3,1887,28,1.48,,,,
CM7722,MBP,3,897,6,0.67,,,,
CM7725,MBP,3,1997,11,0.55,,,,
CM7726,MBP,3,4513,17,0.38,,,,
CM7729,MBP,3,930,3,0.32,,,,
CM7731,MBP,3,3535,12,0.34,,,,
CM7733,MBP,3,2260,40,1.77,,,,
CM7734,MBP,3,4879,29,0.59,,,,
CM7735,MBP,3,4218,33,0.78,,,,
CM7737,MBP,3,4484,47,1.05,,,,
CM7720,MBP+hBT,3,1295,18,1.39,,,,
CM7723,MBP+hBT,3,1897,26,1.37,,,,
CM7724,MBP+hBT,3,1527,24,1.57,,,,
CM7727,MBP+hBT,3,3179,72,2.26,,,,
CM7728,MBP+hBT,3,4117,62,1.51,,,,
CM7730,MBP+hBT,3,4210,77,1.83,,,,
CM7732,MBP+hBT,3,3444,65,1.89,,,,
CM7736,MBP+hBT,3,9505,104,1.09,,,,
CM7738,MBP+hBT,3,7375,140,1.9,,,,
CM7739,MBP+hBT,3,4275,73,1.71,,,,
